CR Map Number,Date,Total Magnetic Flux (Maxwell)
2096,2010-04,2.525025474423062e+23
2097,2010-05,2.6866888998486312e+23
2098,2010-06,2.7052685051910872e+23
2099,2010-07,3.3615842848424774e+23
2100,2010-08,3.118952739713676e+23
2101,2010-09,3.522604299417341e+23
2102,2010-10,3.256858184442129e+23
2103,2010-10,3.222243846026153e+23
2104,2010-11,3.244083567989899e+23
2105,2010-12,2.996734829129678e+23
2106,2011-01,3.432108125636793e+23
2107,2011-02,4.401204803240273e+23
2108,2011-03,4.73643777445264e+23
2109,2011-04,4.950216734050498e+23
2110,2011-05,4.3653308991058285e+23
2111,2011-06,4.069914655067234e+23
2112,2011-07,4.1875171011833665e+23
2113,2011-07,4.621337582548825e+23
2114,2011-08,5.3797204782805745e+23
2115,2011-09,6.368471781206645e+23
2116,2011-10,6.989077081222249e+23
2117,2011-11,6.79119340480169e+23
2118,2011-12,6.299811680867271e+23
2128,2012-09,5.546256945203466e+23
2129,2012-10,5.542109846133347e+23
2130,2012-11,5.62281246688416e+23
2131,2012-12,4.7660913861691505e+23
2132,2012-12,5.999255673326365e+23
2133,2013-01,4.8185987411618194e+23
2134,2013-02,5.033189860938915e+23
2135,2013-03,5.490153143848375e+23
2136,2013-04,5.7568942970712345e+23
2137,2013-05,6.025370785574509e+23
2138,2013-06,5.7544734072178334e+23
2139,2013-07,5.6107574462930626e+23
2140,2013-08,5.687319446677831e+23
2141,2013-08,4.887456354899919e+23
2142,2013-09,6.075897055422862e+23
2143,2013-10,7.289534940178982e+23
2144,2013-11,6.861077013095216e+23
2145,2013-12,6.99995794364691e+23
2146,2014-01,6.978210628791121e+23
2147,2014-02,7.228386589771515e+23
2148,2014-03,7.318839514042538e+23
2149,2014-04,6.694543269050878e+23
2150,2014-05,6.15126896083533e+23
2151,2014-05,5.6227667279181695e+23
2152,2014-06,6.884162618297211e+23
2153,2014-07,6.359851947878825e+23
2154,2014-08,6.875315174546765e+23
2155,2014-09,6.964332064999524e+23
2156,2014-10,7.835508084452162e+23
2157,2014-11,7.935573663632206e+23
2158,2014-12,8.05213348578864e+23
2159,2015-01,6.989976949815876e+23
2160,2015-02,6.452479333431526e+23
2161,2015-02,5.814869301849474e+23
2162,2015-03,6.547031812241902e+23
2163,2015-04,6.39998771424291e+23
2164,2015-05,5.8685940597784e+23
2165,2015-06,6.036248274845683e+23
2166,2015-07,5.433072428223972e+23
2167,2015-08,4.9590418772670233e+23
2168,2015-09,5.113494060316402e+23
2169,2015-10,4.9206537366466765e+23
2170,2015-10,5.234730811911241e+23
2171,2015-11,4.958834168562182e+23
2172,2015-12,4.871163376193108e+23
2173,2016-01,5.116057216900186e+23
2174,2016-02,4.3720241848610795e+23
2175,2016-03,3.6693577736869715e+23
2176,2016-04,4.17888120308272e+23
2177,2016-05,4.1042756832471234e+23
2178,2016-06,3.549984028940016e+23
2179,2016-07,3.895999330307346e+23
2180,2016-07,3.5825601642012504e+23
2181,2016-08,3.955195096844414e+23
2182,2016-09,3.7311011627839485e+23
2183,2016-10,2.9822331115099757e+23
2184,2016-11,3.1272437047713824e+23
2185,2016-12,2.6750068045077162e+23
2186,2017-01,2.9851108456123254e+23
2187,2017-02,2.94718219948733e+23
2188,2017-03,2.966653571917674e+23
2189,2017-04,2.992097780864309e+23
2190,2017-04,2.7283165161971596e+23
2191,2017-05,2.8880355677084436e+23
