l,m,alm
0,0,(0.9708398669383651+0j)
1,-1,(-0.5639787815130811+1.8953629665873173j)
1,0,(-0.9363081042502206+0j)
1,1,(0.5639787815130811+1.8953629665873173j)
2,-2,(-0.6197575045824534-1.2466118690664334j)
2,-1,(1.8076557508008257-2.154527398305703j)
2,0,(-1.7501807247761558+0j)
2,1,(-1.8076557508008257-2.154527398305703j)
2,2,(-0.6197575045824532+1.2466118690664336j)
3,-3,(-1.7000091622930158-0.0661533413971011j)
3,-2,(-0.5490269366635712-0.8060619297041676j)
3,-1,(-0.3029700016883108+0.7404462755852536j)
3,0,(3.5334701603674343+0j)
3,1,(0.3029700016883108+0.7404462755852534j)
3,2,(-0.549026936663571+0.8060619297041676j)
3,3,(1.7000091622930158-0.0661533413971011j)
4,-4,(-1.5467149948270906+0.41257228334406904j)
4,-3,(-3.3475424836964964+1.0931292547749378j)
4,-2,(-0.11087274343935419+0.5922960772972702j)
4,-1,(0.679827889898826+0.2771268341844338j)
4,0,(-1.6649288980835133+0j)
4,1,(-0.679827889898826+0.2771268341844338j)
4,2,(-0.11087274343935415-0.5922960772972701j)
4,3,(3.3475424836964964+1.0931292547749378j)
4,4,(-1.5467149948270906-0.41257228334406904j)
5,-5,(-1.418264468678357-0.3636617175655356j)
5,-4,(-0.09848837874681965+2.423971309034547j)
5,-3,(-1.6784796193102915+1.121278304874647j)
5,-2,(0.558528790587805-1.2226524365718219j)
5,-1,(0.7568175329942959-1.1220477831276832j)
5,0,(-3.1324048906616335+0j)
5,1,(-0.7568175329942955-1.1220477831276832j)
5,2,(0.558528790587805+1.222652436571822j)
5,3,(1.678479619310291+1.121278304874647j)
5,4,(-0.09848837874681965-2.4239713090345476j)
5,5,(1.418264468678357-0.3636617175655359j)
6,-6,(-1.432253689604729+3.2966875268000515j)
6,-5,(4.248604890429044+4.404877514891656j)
6,-4,(-2.2705357617783712-1.210408315658009j)
6,-3,(1.7999425337321773-0.21058489772546807j)
6,-2,(-0.41528527101564777+2.884269234806724j)
6,-1,(0.15874374548270875-0.3969738270656143j)
6,0,(3.3629407429272504+0j)
6,1,(-0.15874374548270864-0.3969738270656143j)
6,2,(-0.415285271015648-2.8842692348067245j)
6,3,(-1.7999425337321773-0.21058489772546815j)
6,4,(-2.2705357617783712+1.2104083156580092j)
6,5,(-4.248604890429044+4.4048775148916555j)
6,6,(-1.4322536896047289-3.2966875268000515j)
7,-7,(1.613658382517307+1.5675199361964949j)
7,-6,(-0.7768017206618715+2.0137849468803113j)
7,-5,(-2.972660057645708-1.9802895628237975j)
7,-4,(-0.10351418287982068-0.02641059280847816j)
7,-3,(0.9550454532265963+0.843528795454121j)
7,-2,(-0.20223520028127975+0.9217552441325695j)
7,-1,(0.30353049321879727+0.9624819699962316j)
7,0,(-0.0845247736291686+0j)
7,1,(-0.30353049321879716+0.9624819699962319j)
7,2,(-0.20223520028127992-0.9217552441325695j)
7,3,(-0.9550454532265963+0.8435287954541211j)
7,4,(-0.10351418287982052+0.026410592808477826j)
7,5,(2.9726600576457076-1.9802895628237975j)
7,6,(-0.7768017206618713-2.0137849468803113j)
7,7,(-1.613658382517307+1.5675199361964949j)
8,-8,(1.4791117943377943+0.8017107256246949j)
8,-7,(5.69754448057241-4.671178034165323j)
8,-6,(-2.010612708180124+5.913034910536372j)
8,-5,(0.04829060535683573+1.7799302307327818j)
8,-4,(-0.04438901237620566-1.7655036801845734j)
8,-3,(2.7170350239432444+0.5897605533565924j)
8,-2,(-0.9015712752394764-1.748148650630036j)
8,-1,(-0.3589933431960534-1.2476851768857173j)
8,0,(0.9666096863001239+0j)
8,1,(0.3589933431960536-1.2476851768857173j)
8,2,(-0.9015712752394764+1.7481486506300359j)
8,3,(-2.7170350239432453+0.5897605533565925j)
8,4,(-0.044389012376205704+1.7655036801845734j)
8,5,(-0.04829060535683565+1.7799302307327818j)
8,6,(-2.010612708180124-5.913034910536371j)
8,7,(-5.69754448057241-4.671178034165323j)
8,8,(1.4791117943377945-0.801710725624695j)
9,-9,(1.5415282221910847-0.8318491614155425j)
9,-8,(1.379260856299834+1.4798012825899034j)
9,-7,(1.7911262796757703+5.265613003190638j)
9,-6,(0.2577164718073419-0.4431691226034786j)
9,-5,(1.0337008697735541-1.2297036884321932j)
9,-4,(-0.3843791941530585-0.9689482548573917j)
9,-3,(-0.17190945052617887-0.25164229881427835j)
9,-2,(0.32111469596525627-0.5493285660857185j)
9,-1,(-0.8919657452736223-1.4854667640958732j)
9,0,(1.9099412422967137+0j)
9,1,(0.8919657452736223-1.4854667640958736j)
9,2,(0.3211146959652562+0.549328566085719j)
9,3,(0.17190945052617895-0.2516422988142782j)
9,4,(-0.38437919415305866+0.9689482548573919j)
9,5,(-1.033700869773554-1.2297036884321928j)
9,6,(0.2577164718073421+0.44316912260347896j)
9,7,(-1.7911262796757703+5.265613003190637j)
9,8,(1.379260856299834-1.4798012825899038j)
9,9,(-1.5415282221910847-0.8318491614155422j)
10,-10,(0.019633210757657917-0.4357621419597991j)
10,-9,(1.2130689917298638-3.655347124792668j)
10,-8,(1.795768213764714+0.5775517817711079j)
10,-7,(3.109903249234508-3.2291739288704866j)
10,-6,(-1.538942623641654-2.1763136269136054j)
10,-5,(-1.1773946286990942-1.9341062697995863j)
10,-4,(0.2662010731591841+1.9741681522863375j)
10,-3,(-3.9314289151830017+0.47484391665899256j)
10,-2,(1.2162893800380725-1.1094512476779586j)
10,-1,(-1.4688288351987893+1.5288654944534001j)
10,0,(-2.2775931486012886+0j)
10,1,(1.4688288351987893+1.5288654944534001j)
10,2,(1.2162893800380727+1.1094512476779586j)
10,3,(3.931428915183002+0.47484391665899256j)
10,4,(0.2662010731591841-1.9741681522863375j)
10,5,(1.177394628699094-1.9341062697995863j)
10,6,(-1.5389426236416544+2.1763136269136054j)
10,7,(-3.1099032492345073-3.2291739288704866j)
10,8,(1.795768213764714-0.5775517817711079j)
10,9,(-1.2130689917298643-3.655347124792668j)
10,10,(0.019633210757657917+0.4357621419597993j)
11,-11,(-1.1763403524372469-1.8855261117518352j)
11,-10,(2.618728984971194-3.4280528313056924j)
11,-9,(4.678022314728269-0.0035102715912961584j)
11,-8,(-1.7182670618082991+1.6981852532860717j)
11,-7,(-0.3473949094671925+1.1842001992168805j)
11,-6,(1.0268087749023527-1.928873952397088j)
11,-5,(1.7075960514053927+2.0845227136186404j)
11,-4,(1.1776265470705465-1.227492338021987j)
11,-3,(-0.8730460164167573-0.15818134142918322j)
11,-2,(-0.6190395058176208-0.7836212395818787j)
11,-1,(-0.23094038080682414-1.4242022127770297j)
11,0,(-3.7420003382324545+0j)
11,1,(0.23094038080682422-1.4242022127770293j)
11,2,(-0.6190395058176206+0.783621239581878j)
11,3,(0.8730460164167573-0.1581813414291833j)
11,4,(1.1776265470705465+1.227492338021987j)
11,5,(-1.7075960514053932+2.0845227136186404j)
11,6,(1.0268087749023527+1.928873952397088j)
11,7,(0.3473949094671925+1.1842001992168805j)
11,8,(-1.7182670618082991-1.6981852532860713j)
11,9,(-4.678022314728269-0.00351027159129649j)
11,10,(2.618728984971194+3.4280528313056924j)
11,11,(1.1763403524372469-1.8855261117518352j)
12,-12,(-0.4621541207748945-0.370868881955831j)
12,-11,(0.7200525233402542-2.3704511149955536j)
12,-10,(-1.3100729273661715-2.1718355607683515j)
12,-9,(0.7539838239628475-2.0468963096954718j)
12,-8,(-1.9509123426533117-0.9414110685499268j)
12,-7,(-0.9233644500551392+1.5040447911813464j)
12,-6,(0.6920336863980705-2.1965514815251845j)
12,-5,(0.49977428167774895-0.4041718089647248j)
12,-4,(0.47317957463787036+0.7361511698682219j)
12,-3,(0.9313187994563319-2.567522989144999j)
12,-2,(0.14251172384833652+2.173732981724633j)
